City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Yurimaguas,PE,-5.9,-76.0833,70.07,99,100,0.58,overcast clouds
270,Hambantota,LK,6.1241,81.1185,73.54,67,68,13.69,broken clouds
271,Sibolga,ID,1.7427,98.7792,80.1,72,82,0.51,broken clouds
272,Yerbogachen,RU,61.2767,108.0108,-43.29,97,99,2.95,overcast clouds
273,Lake Forest,US,33.647,-117.6892,53.91,88,75,6.91,broken clouds
274,Talnakh,RU,69.4865,88.3972,-28.77,88,3,6.87,clear sky
275,Erenhot,CN,43.6475,111.9767,1.78,63,5,17.45,clear sky
276,Saldanha,ZA,-33.0117,17.9442,63.88,96,1,7.07,clear sky
277,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,84,3,4.85,clear sky
278,Poso,ID,-1.3959,120.7524,84.09,63,100,3.06,overcast clouds
279,Beloha,MG,-25.1667,45.05,71.6,81,55,11.39,broken clouds
280,Mikkeli,FI,61.6886,27.2723,32.11,93,100,4.61,overcast clouds
281,Qiongshan,CN,20.0058,110.3542,66.18,72,0,13.42,clear sky
282,Bonavista,CA,48.6499,-53.1147,31.77,93,99,19.26,overcast clouds
283,San Juan,AR,-31.5375,-68.5364,90.75,35,4,16.6,clear sky
284,Aklavik,CA,68.2191,-135.0107,-19.52,99,51,4.61,broken clouds
285,Santa Pola,ES,38.1917,-0.5658,57.67,60,0,9.22,clear sky
286,Benguela,AO,-12.5763,13.4055,75.07,81,100,3.58,overcast clouds
287,Jiuquan,CN,39.7432,98.5174,10.65,59,0,3.65,clear sky
288,Lebu,CL,-37.6167,-73.65,56.57,93,6,0.07,clear sky
289,Manati,PR,18.4275,-66.4921,75.56,93,0,7.2,clear sky
290,Ambilobe,MG,-13.2,49.05,74.64,92,100,7.07,moderate rain
291,Dyatkovo,RU,53.5978,34.3382,42.66,90,100,11.48,overcast clouds
292,Mahibadhoo,MV,3.7833,72.9667,80.53,62,5,18.59,clear sky
293,Djougou,BJ,9.7085,1.666,72.55,22,0,4.54,clear sky
294,Itoigawa,JP,37.0333,137.85,49.01,68,48,11.65,scattered clouds
295,Pop,UZ,40.8736,71.1089,16.29,62,0,3.94,clear sky
296,La Roche-Sur-Yon,FR,46.6667,-1.4333,30.47,100,2,8.05,mist
297,Tromso,NO,69.6496,18.957,33.82,64,80,20.71,broken clouds
298,Coahuayana,MX,18.7333,-103.6833,72.05,81,98,0.87,overcast clouds
299,Rosarito,MX,32.3333,-117.0333,56.48,77,85,12.44,overcast clouds
300,Masty,BY,53.4122,24.5387,32.79,99,100,8.97,light snow
301,Ancud,CL,-41.8697,-73.8203,56.95,94,94,7.94,overcast clouds
302,Ampanihy,MG,-24.7,44.75,68.61,86,56,6.82,broken clouds
303,Diamantino,BR,-14.4086,-56.4461,72.43,77,22,4.23,few clouds
